Action 1,ID 1,Month 1,Target 1,Change Value 1,Action 2,ID 2,Month 2,Target 2,Change Value 2,Invalid,Affected Datasets,Can Reprocess
ADD,,1,std1,,ADD,,1,std1,,true,,
ADD,,1,std1,,ADD,,1,std3,,,,
ADD,,1,std1,,EDIT,1,2,std1,true,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,1,std1,false,true,,
ADD,,1,std1,,EDIT,1,1,std1,true,true,,
ADD,,1,std1,,EDIT,1,1,std3,false,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,1,std3,true,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,3,std1,false,,1,true
ADD,,1,std1,,EDIT,1,3,std1,true,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,3,std3,false,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,3,std3,true,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,9,std1,false,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,9,std1,true,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,9,std3,false,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,1,9,std3,true,,1;2;3,true;true;true
ADD,,1,std1,,DELETE,1,,,,,1;2;3,true;true;true
ADD,,1,std1,,EDIT,2,2,std3,true,,1,true
ADD,,1,std1,,EDIT,2,1,std3,false,,,
ADD,,1,std1,,EDIT,2,1,std1,false,true,,
ADD,,1,std1,,EDIT,2,1,std3,true,,1,true
ADD,,1,std1,,EDIT,2,1,std1,true,true,,
ADD,,1,std1,,EDIT,2,3,std3,false,,1,false
ADD,,1,std1,,EDIT,2,3,std1,false,,1;2;3,false;true;true
ADD,,1,std1,,EDIT,2,3,std3,true,,1,false
ADD,,1,std1,,EDIT,2,3,std1,true,,1;2;3,false;true;true
ADD,,1,std1,,EDIT,2,9,std3,false,,1,false
ADD,,1,std1,,EDIT,2,9,std1,false,,1,false
ADD,,1,std1,,EDIT,2,9,std3,true,,1,false
ADD,,1,std1,,EDIT,2,9,std1,true,,1,false
ADD,,1,std1,,DELETE,2,,,,,1,false
ADD,,1,std1,,ADD,,3,std1,,,1;2;3,true;true;true
ADD,,1,std1,,ADD,,3,std3,,,1,true
ADD,,1,std1,,ADD,,4,std1,,,2;3,true;true
ADD,,1,std1,,ADD,,4,std3,,,,
ADD,,1,std1,,ADD,,5,std1,,,2;3,true;true
ADD,,1,std1,,ADD,,6,std1,,,3,true
ADD,,1,std1,,ADD,,6,std3,,,3,true
ADD,,1,std1,,EDIT,4,7,std1,true,,4,true
ADD,,1,std1,,EDIT,4,6,std1,false,,3,true
ADD,,1,std1,,EDIT,4,6,std3,false,,3;4,true;true
ADD,,1,std1,,EDIT,4,6,std1,true,,3;4,true;true
ADD,,1,std1,,EDIT,4,6,std3,true,,3;4,true;true
ADD,,1,std1,,EDIT,4,8,std1,false,,4,true
ADD,,1,std1,,EDIT,4,8,std3,false,,4,true
ADD,,1,std1,,EDIT,4,8,std1,true,,4,true
ADD,,1,std1,,EDIT,4,8,std3,true,,4,true
ADD,,1,std1,,EDIT,4,1,std1,false,true,,
ADD,,1,std1,,EDIT,4,1,std3,false,,4,true
ADD,,1,std1,,EDIT,4,1,std1,true,true,,
ADD,,1,std1,,EDIT,4,1,std3,true,,4,true
ADD,,1,std1,,DELETE,4,,,,,4,true
ADD,,1,std1,,EDIT,5,7,std3,true,,4,true
ADD,,1,std1,,EDIT,5,6,std3,false,,3,true
ADD,,1,std1,,EDIT,5,6,std1,false,,3;4,true;true
ADD,,1,std1,,EDIT,5,6,std3,true,,3;4,true;true
ADD,,1,std1,,EDIT,5,6,std1,true,,3;4,true;true
ADD,,1,std1,,EDIT,5,8,std3,false,,4,true
ADD,,1,std1,,EDIT,5,8,std1,false,,4,true
ADD,,1,std1,,EDIT,5,8,std3,true,,4,true
ADD,,1,std1,,EDIT,5,8,std1,true,,4,true
ADD,,1,std1,,DELETE,5,,,,,4,true
ADD,,1,std1,,ADD,,8,std1,,,,
ADD,,1,std1,,ADD,,8,std3,,,,
ADD,,1,std3,,ADD,,1,std1,,,,
ADD,,1,std3,,ADD,,1,std3,,true,,
ADD,,1,std3,,EDIT,1,2,std1,true,,1;2;3,true;true;true
ADD,,1,std3,,EDIT,1,1,std1,false,,,
ADD,,1,std3,,EDIT,1,1,std1,true,,1;2;3,true;true;true
ADD,,1,std3,,EDIT,1,1,std3,false,true,,
ADD,,1,std3,,EDIT,1,1,std3,true,true,,
ADD,,1,std3,,EDIT,1,3,std1,false,,1,false
ADD,,1,std3,,EDIT,1,3,std1,true,,1;2;3,false;true;true
ADD,,1,std3,,EDIT,1,3,std3,false,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,1,3,std3,true,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,1,9,std1,false,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,1,9,std1,true,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,1,9,std3,false,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,1,9,std3,true,,1;2;3,false;false;false
ADD,,1,std3,,DELETE,1,,,,,1;2;3,false;false;false
ADD,,1,std3,,EDIT,2,2,std3,true,,1,true
ADD,,1,std3,,EDIT,2,1,std3,false,true,,
ADD,,1,std3,,EDIT,2,1,std1,false,,1,true
ADD,,1,std3,,EDIT,2,1,std3,true,true,,
ADD,,1,std3,,EDIT,2,1,std1,true,,1,true
ADD,,1,std3,,EDIT,2,3,std3,false,,1,true
ADD,,1,std3,,EDIT,2,3,std1,false,,1;2;3,true;true;true
ADD,,1,std3,,EDIT,2,3,std3,true,,1,true
ADD,,1,std3,,EDIT,2,3,std1,true,,1;2;3,true;true;true
ADD,,1,std3,,EDIT,2,9,std3,false,,1,true
ADD,,1,std3,,EDIT,2,9,std1,false,,1,true
ADD,,1,std3,,EDIT,2,9,std3,true,,1,true
ADD,,1,std3,,EDIT,2,9,std1,true,,1,true
ADD,,1,std3,,DELETE,2,,,,,1,true
ADD,,1,std3,,ADD,,3,std1,,,1;2;3,true;true;true
ADD,,1,std3,,ADD,,3,std3,,,1,true
ADD,,1,std3,,ADD,,4,std1,,,2;3,true;true
ADD,,1,std3,,ADD,,4,std3,,,,
ADD,,1,std3,,ADD,,5,std1,,,2;3,true;true
ADD,,1,std3,,ADD,,6,std1,,,3,true
ADD,,1,std3,,ADD,,6,std3,,,3,true
ADD,,1,std3,,EDIT,4,7,std1,true,,4,true
ADD,,1,std3,,EDIT,4,6,std1,false,,3,true
ADD,,1,std3,,EDIT,4,6,std3,false,,3;4,true;true
ADD,,1,std3,,EDIT,4,6,std1,true,,3;4,true;true
ADD,,1,std3,,EDIT,4,6,std3,true,,3;4,true;true
ADD,,1,std3,,EDIT,4,8,std1,false,,4,true
ADD,,1,std3,,EDIT,4,8,std3,false,,4,true
ADD,,1,std3,,EDIT,4,8,std1,true,,4,true
ADD,,1,std3,,EDIT,4,8,std3,true,,4,true
ADD,,1,std3,,EDIT,4,1,std1,false,,4,true
ADD,,1,std3,,EDIT,4,1,std3,false,true,,
ADD,,1,std3,,EDIT,4,1,std1,true,,4,true
ADD,,1,std3,,EDIT,4,1,std3,true,true,,
ADD,,1,std3,,DELETE,4,,,,,4,true
ADD,,1,std3,,EDIT,5,7,std3,true,,4,true
ADD,,1,std3,,EDIT,5,6,std3,false,,3,true
