Action 1,ID 1,Month 1,Target 1,Change Value 1,Action 2,ID 2,Month 2,Target 2,Change Value 2,Invalid,Affected Datasets,Can Reprocess
ADD,,1,10000,,ADD,,1,10000,,true,,
ADD,,1,10000,,ADD,,1,10001,,,,
ADD,,1,10000,,EDIT,21,2,10000,true,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,1,10000,false,true,,
ADD,,1,10000,,EDIT,21,1,10000,true,true,,
ADD,,1,10000,,EDIT,21,1,10001,false,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,1,10001,true,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,3,10000,false,true,,
ADD,,1,10000,,EDIT,21,3,10000,true,true,,
ADD,,1,10000,,EDIT,21,3,10001,false,true,,
ADD,,1,10000,,EDIT,21,3,10001,true,true,,
ADD,,1,10000,,EDIT,21,9,10000,false,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,9,10000,true,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,9,10001,false,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,21,9,10001,true,,21;22;23,true;true;true
ADD,,1,10000,,DELETE,21,,,,,21;22;23,true;true;true
ADD,,1,10000,,EDIT,22,2,10001,true,,21,true
ADD,,1,10000,,EDIT,22,1,10001,false,,,
ADD,,1,10000,,EDIT,22,1,10000,false,true,,
ADD,,1,10000,,EDIT,22,1,10001,true,,21,true
ADD,,1,10000,,EDIT,22,1,10000,true,true,,
ADD,,1,10000,,EDIT,22,3,10001,false,true,,
ADD,,1,10000,,EDIT,22,3,10000,false,true,,
ADD,,1,10000,,EDIT,22,3,10001,true,true,,
ADD,,1,10000,,EDIT,22,3,10000,true,true,,
ADD,,1,10000,,EDIT,22,9,10001,false,,21,false
ADD,,1,10000,,EDIT,22,9,10000,false,,21,false
ADD,,1,10000,,EDIT,22,9,10001,true,,21,false
ADD,,1,10000,,EDIT,22,9,10000,true,,21,false
ADD,,1,10000,,DELETE,22,,,,,21,false
ADD,,1,10000,,ADD,,3,10000,,true,,
ADD,,1,10000,,ADD,,3,10001,,true,,
ADD,,1,10000,,ADD,,4,10000,,,22;23,true;true
ADD,,1,10000,,ADD,,4,10001,,,,
ADD,,1,10000,,ADD,,5,10000,,,22;23,true;true
ADD,,1,10000,,ADD,,6,10000,,,23,true
ADD,,1,10000,,ADD,,6,10001,,,23,true
ADD,,1,10000,,EDIT,24,7,10000,true,,24,true
ADD,,1,10000,,EDIT,24,6,10000,false,,23,true
ADD,,1,10000,,EDIT,24,6,10001,false,,23;24,true;true
ADD,,1,10000,,EDIT,24,6,10000,true,,23;24,true;true
ADD,,1,10000,,EDIT,24,6,10001,true,,23;24,true;true
ADD,,1,10000,,EDIT,24,8,10000,false,,24,true
ADD,,1,10000,,EDIT,24,8,10001,false,,24,true
ADD,,1,10000,,EDIT,24,8,10000,true,,24,true
ADD,,1,10000,,EDIT,24,8,10001,true,,24,true
ADD,,1,10000,,EDIT,24,1,10000,false,true,,
ADD,,1,10000,,EDIT,24,1,10001,false,,24,true
ADD,,1,10000,,EDIT,24,1,10000,true,true,,
ADD,,1,10000,,EDIT,24,1,10001,true,,24,true
ADD,,1,10000,,DELETE,24,,,,,24,true
ADD,,1,10000,,EDIT,25,7,10001,true,,24,true
ADD,,1,10000,,EDIT,25,6,10001,false,,23,true
ADD,,1,10000,,EDIT,25,6,10000,false,,23;24,true;true
ADD,,1,10000,,EDIT,25,6,10001,true,,23;24,true;true
ADD,,1,10000,,EDIT,25,6,10000,true,,23;24,true;true
ADD,,1,10000,,EDIT,25,8,10001,false,,24,true
ADD,,1,10000,,EDIT,25,8,10000,false,,24,true
ADD,,1,10000,,EDIT,25,8,10001,true,,24,true
ADD,,1,10000,,EDIT,25,8,10000,true,,24,true
ADD,,1,10000,,DELETE,25,,,,,24,true
ADD,,1,10000,,ADD,,8,10000,,,,
ADD,,1,10000,,ADD,,8,10001,,,,
ADD,,1,10001,,ADD,,1,10000,,,,
ADD,,1,10001,,ADD,,1,10001,,true,,
ADD,,1,10001,,EDIT,21,2,10000,true,,21;22;23,true;true;true
ADD,,1,10001,,EDIT,21,1,10000,false,,,
ADD,,1,10001,,EDIT,21,1,10000,true,,21;22;23,true;true;true
ADD,,1,10001,,EDIT,21,1,10001,false,true,,
ADD,,1,10001,,EDIT,21,1,10001,true,true,,
ADD,,1,10001,,EDIT,21,3,10000,false,true,21,false
ADD,,1,10001,,EDIT,21,3,10000,true,true,21;22;23,false;true;true
ADD,,1,10001,,EDIT,21,3,10001,false,true,21;22;23,false;false;false
ADD,,1,10001,,EDIT,21,3,10001,true,true,21;22;23,false;false;false
ADD,,1,10001,,EDIT,21,9,10000,false,,21;22;23,false;false;false
