Action,ID,Month,Target,Change Value,Affected Datasets,Can Reprocess
ADD,,1,10000,,,
ADD,,1,10001,,,
EDIT,21,2,10000,true,21;22;23,true;true;true
EDIT,21,1,10000,false,,
EDIT,21,1,10000,true,21;22;23,true;true;true
EDIT,21,1,10001,false,21;22;23,false;false;false
EDIT,21,1,10001,true,21;22;23,false;false;false
EDIT,21,9,10000,false,21;22;23,false;false;false
EDIT,21,9,10000,true,21;22;23,false;false;false
EDIT,21,9,10001,false,21;22;23,false;false;false
EDIT,21,9,10001,true,21;22;23,false;false;false
DELETE,21,,,,21;22;23,false;false;false
EDIT,22,2,10001,true,21,true
EDIT,22,1,10001,false,,
EDIT,22,1,10000,false,21,false
EDIT,22,1,10001,true,21,true
EDIT,22,1,10000,true,21,false
EDIT,22,9,10001,false,21,false
EDIT,22,9,10000,false,21,false
EDIT,22,9,10001,true,21,false
EDIT,22,9,10000,true,21,false
DELETE,22,,,,21,false
ADD,,4,10000,,22;23,true;true
ADD,,4,10001,,,
ADD,,5,10000,,22;23,true;true
ADD,,6,10000,,23,true
ADD,,6,10001,,23,true
EDIT,24,7,10000,true,24,true
EDIT,24,6,10000,false,23,true
EDIT,24,6,10001,false,23;24,true;true
EDIT,24,6,10000,true,23;24,true;true
EDIT,24,6,10001,true,23;24,true;true
EDIT,24,8,10000,false,24,true
EDIT,24,8,10001,false,24,true
EDIT,24,8,10000,true,24,true
EDIT,24,8,10001,true,24,true
EDIT,24,1,10000,false,24,true
EDIT,24,1,10001,false,24,true
EDIT,24,1,10000,true,24,true
EDIT,24,1,10001,true,24,true
DELETE,24,,,,24,true
EDIT,25,7,10001,true,24,true
EDIT,25,6,10001,false,23,true
EDIT,25,6,10000,false,23;24,true;true
EDIT,25,6,10001,true,23;24,true;true
EDIT,25,6,10000,true,23;24,true;true
EDIT,25,8,10001,false,24,true
EDIT,25,8,10000,false,24,true
EDIT,25,8,10001,true,24,true
EDIT,25,8,10000,true,24,true
DELETE,25,,,,24,true
ADD,,8,10000,,,
ADD,,8,10001,,,
